"","cap_shape","cap_surface","cap_color","bruises","odor","gill_attachment","gill_spacing","gill_size","gill_color","stalk_shape","stalk_root","stalk_surface_above_ring","stalk_surface_below_ring","stalk_color_above_ring","stalk_color_below_ring","veil_color","ring_number","ring_type","spore_print_color","population","habitat"
"1006","x","s","g","f","n","f","w","b","p","t","e","s","f","w","w","w","o","e","n","a","g"
"1007","x","s","w","f","n","f","w","b","k","t","e","f","s","w","w","w","o","e","n","a","g"
"1008","f","f","w","f","n","f","w","b","p","t","e","f","s","w","w","w","o","e","n","s","g"
"1009","x","f","n","f","n","f","w","b","k","t","e","s","s","w","w","w","o","e","n","a","g"
"1010","x","s","w","t","l","f","c","b","k","e","c","s","s","w","w","w","o","p","n","s","g"
"1011","x","y","w","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","n","s","m"
"1012","x","s","w","f","n","f","w","b","k","t","e","s","s","w","w","w","o","e","k","s","g"
"1013","f","y","y","t","a","f","c","b","p","e","r","s","y","w","w","w","o","p","n","s","p"
"1014","f","s","n","f","n","f","w","b","n","t","e","s","f","w","w","w","o","e","k","s","g"
"1015","f","f","g","f","n","f","w","b","h","t","e","f","f","w","w","w","o","e","k","s","g"
"1016","f","f","y","t","a","f","w","n","p","t","b","s","s","w","w","w","o","p","u","v","d"
"1017","f","y","n","t","l","f","c","b","n","e","r","s","y","w","w","w","o","p","n","s","g"
"1018","x","f","n","t","n","f","c","b","p","t","b","s","s","p","w","w","o","p","n","y","d"
"1019","f","s","n","t","p","f","c","n","w","e","e","s","s","w","w","w","o","p","n","s","g"
"1020","x","f","n","t","n","f","c","b","n","t","b","s","s","w","p","w","o","p","k","v","d"
"1021","f","f","n","f","n","f","w","b","n","t","e","f","f","w","w","w","o","e","n","a","g"
"1022","b","s","y","t","a","f","c","b","w","e","c","s","s","w","w","w","o","p","k","n","m"
"1023","b","y","w","t","a","f","c","b","k","e","c","s","s","w","w","w","o","p","k","n","g"
"1024","x","y","w","t","a","f","c","b","w","e","c","s","s","w","w","w","o","p","n","s","m"
"1025","f","y","w","t","p","f","c","n","n","e","e","s","s","w","w","w","o","p","k","v","u"
"1026","f","y","w","t","p","f","c","n","p","e","e","s","s","w","w","w","o","p","n","s","g"
"1027","x","f","n","f","n","f","c","n","n","e","e","s","s","w","w","w","o","p","n","v","u"
"1028","f","s","y","t","l","f","w","n","w","t","b","s","s","w","w","w","o","p","u","v","d"
"1029","x","y","y","t","l","f","c","b","k","e","c","s","s","w","w","w","o","p","k","n","m"
"1030","x","s","w","f","n","f","w","b","k","t","e","s","s","w","w","w","o","e","k","a","g"
"1031","x","f","g","t","n","f","c","b","u","t","b","s","s","g","g","w","o","p","n","y","d"
"1032","x","y","n","t","p","f","c","n","n","e","e","s","s","w","w","w","o","p","k","v","g"
"1033","x","f","g","f","n","f","w","b","p","t","e","s","f","w","w","w","o","e","n","s","g"
"1034","f","f","n","f","n","f","w","b","p","t","e","s","f","w","w","w","o","e","n","s","g"
"1035","x","s","w","f","n","f","w","b","p","t","e","s","s","w","w","w","o","e","n","s","g"
"1036","f","f","w","f","n","f","w","b","p","t","e","f","f","w","w","w","o","e","k","a","g"
"1037","x","y","y","t","a","f","c","b","k","e","c","s","s","w","w","w","o","p","k","s","m"
"1038","f","f","y","t","a","f","w","n","n","t","b","s","s","w","w","w","o","p","n","v","d"
"1039","x","f","g","f","n","f","c","n","k","e","e","s","s","w","w","w","o","p","k","y","u"
"1040","x","s","n","t","p","f","c","n","p","e","e","s","s","w","w","w","o","p","k","s","u"
"1041","x","y","y","t","a","f","c","b","w","e","r","s","y","w","w","w","o","p","n","y","p"
"1042","f","y","n","t","a","f","c","b","n","e","r","s","y","w","w","w","o","p","k","s","p"
"1043","x","f","w","f","n","f","w","b","h","t","e","s","s","w","w","w","o","e","k","a","g"
"1044","x","y","n","t","n","f","c","b","u","t","b","s","s","g","g","w","o","p","n","v","d"
"1045","x","s","g","f","n","f","w","b","h","t","e","f","f","w","w","w","o","e","n","a","g"
"1046","x","s","w","t","a","f","c","b","w","e","c","s","s","w","w","w","o","p","n","s","g"
"1047","x","f","g","f","n","f","w","b","h","t","e","s","f","w","w","w","o","e","n","s","g"
"1048","f","y","n","t","p","f","c","n","n","e","e","s","s","w","w","w","o","p","n","s","u"
"1049","x","f","n","t","n","f","c","b","p","t","b","s","s","g","w","w","o","p","k","v","d"
"1050","x","f","g","f","n","f","w","b","k","t","e","f","f","w","w","w","o","e","k","a","g"
"1051","x","f","e","t","n","f","c","b","w","t","b","s","s","w","w","w","o","p","k","v","d"
"1052","x","f","n","t","n","f","c","b","u","t","b","s","s","g","g","w","o","p","k","y","d"
"1053","x","f","g","f","n","f","w","b","p","t","e","s","f","w","w","w","o","e","n","a","g"
"1054","x","y","y","t","l","f","c","b","w","e","r","s","y","w","w","w","o","p","n","s","p"
"1055","x","f","n","f","n","f","w","b","k","t","e","f","s","w","w","w","o","e","k","s","g"
"1056","b","s","y","t","l","f","c","b","k","e","c","s","s","w","w","w","o","p","k","s","g"
"1057","x","f","w","t","l","f","w","n","p","t","b","s","s","w","w","w","o","p","n","v","d"
"1058","f","s","g","f","n","f","w","b","k","t","e","s","f","w","w","w","o","e","n","s","g"
"1059","x","y","y","t","l","f","c","b","w","e","c","s","s","w","w","w","o","p","k","n","g"
"1060","x","f","n","f","n","f","w","b","h","t","e","s","s","w","w","w","o","e","n","s","g"
"1061","f","s","w","f","n","f","w","b","h","t","e","s","f","w","w","w","o","e","n","a","g"
"1062","x","s","y","t","l","f","w","n","n","t","b","s","s","w","w","w","o","p","n","v","d"
"1063","x","s","g","f","n","f","w","b","k","t","e","f","s","w","w","w","o","e","n","s","g"
"1064","x","f","g","f","n","f","w","b","n","t","e","f","f","w","w","w","o","e","n","s","g"
"1065","f","y","w","t","p","f","c","n","k","e","e","s","s","w","w","w","o","p","k","s","u"
"1066","f","f","y","t","l","f","w","n","p","t","b","s","s","w","w","w","o","p","u","v","d"
"1067","x","y","w","t","a","f","c","b","k","e","c","s","s","w","w","w","o","p","k","s","g"
"1068","f","f","w","f","n","f","w","b","p","t","e","f","s","w","w","w","o","e","n","a","g"
"1069","x","f","n","t","n","f","c","b","u","t","b","s","s","g","g","w","o","p","k","v","d"
"1070","x","y","n","t","l","f","c","b","n","e","r","s","y","w","w","w","o","p","n","s","g"
"1071","x","s","w","f","n","f","w","b","h","t","e","s","f","w","w","w","o","e","n","a","g"
"1072","f","y","w","t","p","f","c","n","k","e","e","s","s","w","w","w","o","p","n","v","g"
"1073","x","s","y","t","a","f","c","b","k","e","c","s","s","w","w","w","o","p","n","s","g"
"1074","x","f","g","t","n","f","c","b","p","t","b","s","s","p","w","w","o","p","k","y","d"
"1075","f","y","y","t","l","f","c","b","p","e","r","s","y","w","w","w","o","p","k","s","p"
"1076","f","s","g","f","n","f","w","b","k","t","e","f","s","w","w","w","o","e","k","a","g"
"1077","f","f","n","f","n","f","c","n","p","e","e","s","s","w","w","w","o","p","n","y","u"
"1078","f","y","w","t","p","f","c","n","n","e","e","s","s","w","w","w","o","p","n","v","g"
"1079","f","f","g","f","n","f","w","b","k","t","e","f","s","w","w","w","o","e","n","s","g"
"1080","x","y","n","t","l","f","c","b","p","e","r","s","y","w","w","w","o","p","k","s","p"
"1081","f","f","w","f","n","f","w","b","h","t","e","s","s","w","w","w","o","e","k","a","g"
"1082","f","y","n","t","p","f","c","n","k","e","e","s","s","w","w","w","o","p","n","v","u"
"1083","b","s","y","t","l","f","c","b","k","e","c","s","s","w","w","w","o","p","k","n","m"
"1084","f","f","g","f","n","f","w","b","n","t","e","f","f","w","w","w","o","e","k","s","g"
"1085","b","s","w","t","l","f","c","b","w","e","c","s","s","w","w","w","o","p","k","n","g"
"1086","f","f","g","f","n","f","w","b","p","t","e","s","f","w","w","w","o","e","n","s","g"
"1087","b","y","w","t","l","f","c","b","n","e","c","s","s","w","w","w","o","p","n","n","m"
"1088","x","y","w","t","l","f","c","b","w","e","c","s","s","w","w","w","o","p","k","n","m"
"1089","f","y","n","t","p","f","c","n","n","e","e","s","s","w","w","w","o","p","k","v","g"
"1090","x","y","y","t","l","f","c","b","w","e","c","s","s","w","w","w","o","p","k","s","g"
"1091","s","f","n","f","n","f","c","n","n","e","e","s","s","w","w","w","o","p","k","y","u"
"1092","x","y","n","t","a","f","c","b","n","e","r","s","y","w","w","w","o","p","k","y","g"
"1093","f","f","g","f","n","f","w","b","n","t","e","s","f","w","w","w","o","e","n","a","g"
"1094","f","f","y","t","l","f","w","n","n","t","b","s","s","w","w","w","o","p","u","v","d"
"1095","x","s","g","f","n","f","w","b","p","t","e","f","f","w","w","w","o","e","n","a","g"
"1096","f","y","n","t","p","f","c","n","n","e","e","s","s","w","w","w","o","p","k","v","u"
"1097","x","f","g","f","n","f","w","b","p","t","e","s","s","w","w","w","o","e","k","a","g"
"1098","x","s","g","f","n","f","w","b","h","t","e","f","s","w","w","w","o","e","k","a","g"
"1099","x","f","g","f","n","f","w","b","h","t","e","f","s","w","w","w","o","e","k","s","g"
"1100","x","y","n","t","p","f","c","n","n","e","e","s","s","w","w","w","o","p","n","s","g"
"1101","x","f","n","f","n","f","w","b","k","t","e","f","f","w","w","w","o","e","n","a","g"
"1102","f","s","w","f","n","f","w","b","k","t","e","f","s","w","w","w","o","e","n","s","g"
"1103","x","f","g","f","n","f","w","b","h","t","e","s","s","w","w","w","o","e","n","s","g"
"1104","x","y","n","t","p","f","c","n","w","e","e","s","s","w","w","w","o","p","n","s","g"
"1105","f","f","n","f","n","f","w","b","n","t","e","s","f","w","w","w","o","e","n","a","g"
"1106","f","s","w","f","n","f","w","b","n","t","e","f","s","w","w","w","o","e","k","a","g"
"1107","x","y","w","t","p","f","c","n","n","e","e","s","s","w","w","w","o","p","k","v","u"
"1108","f","f","g","f","n","f","w","b","k","t","e","s","f","w","w","w","o","e","n","a","g"
"1109","b","y","y","t","l","f","c","b","k","e","c","s","s","w","w","w","o","p","n","n","g"
"1110","x","s","n","f","n","f","w","b","h","t","e","f","f","w","w","w","o","e","n","a","g"
"1111","f","f","n","f","n","f","w","b","k","t","e","f","s","w","w","w","o","e","k","a","g"
"1112","f","s","w","t","p","f","c","n","n","e","e","s","s","w","w","w","o","p","k","s","g"
"1113","x","y","n","t","a","f","c","b","w","e","r","s","y","w","w","w","o","p","n","s","g"
"1114","f","f","w","f","n","f","w","b","k","t","e","f","s","w","w","w","o","e","k","a","g"
"1115","f","y","n","t","l","f","c","b","p","e","r","s","y","w","w","w","o","p","k","s","g"
"1116","f","f","g","f","n","f","w","b","p","t","e","s","s","w","w","w","o","e","k","s","g"
"1117","f","f","g","f","n","f","w","b","n","t","e","f","f","w","w","w","o","e","n","s","g"
"1118","f","s","g","f","n","f","w","b","h","t","e","f","f","w","w","w","o","e","n","s","g"
"1119","f","f","n","f","n","f","w","b","k","t","e","f","s","w","w","w","o","e","k","s","g"
"1120","x","s","g","f","n","f","w","b","h","t","e","s","s","w","w","w","o","e","n","s","g"
"1121","x","f","w","f","n","f","w","b","p","t","e","f","s","w","w","w","o","e","k","s","g"
"1122","f","f","w","f","n","f","w","b","k","t","e","s","f","w","w","w","o","e","k","a","g"
"1123","x","s","n","f","n","f","w","b","p","t","e","f","f","w","w","w","o","e","n","s","g"
"1124","x","f","n","t","n","f","c","b","p","t","b","s","s","p","p","w","o","p","k","v","d"
"1125","f","s","y","t","a","f","w","n","p","t","b","s","s","w","w","w","o","p","u","v","d"
"1126","x","f","w","f","n","f","w","b","p","t","e","s","s","w","w","w","o","e","k","s","g"
"1127","f","s","w","f","n","f","w","b","p","t","e","s","s","w","w","w","o","e","k","a","g"
"1128","b","s","y","t","a","f","c","b","k","e","c","s","s","w","w","w","o","p","n","n","g"
"1129","x","f","w","f","n","f","w","b","h","t","e","s","f","w","w","w","o","e","n","a","g"
"1130","x","f","g","f","n","f","w","b","k","t","e","s","f","w","w","w","o","e","k","a","g"
"1131","f","s","n","t","p","f","c","n","p","e","e","s","s","w","w","w","o","p","n","v","u"
"1132","x","f","g","f","n","f","w","b","n","t","e","f","s","w","w","w","o","e","k","a","g"
"1133","x","s","n","t","p","f","c","n","p","e","e","s","s","w","w","w","o","p","k","s","g"
"1134","f","s","w","f","n","f","w","b","k","t","e","f","f","w","w","w","o","e","n","s","g"
"1135","x","y","w","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","k","n","g"
"1136","x","f","n","f","n","f","w","b","h","t","e","s","s","w","w","w","o","e","k","s","g"
"1137","x","f","n","t","n","f","c","b","n","t","b","s","s","w","p","w","o","p","n","y","d"
"1138","b","y","y","t","l","f","c","b","w","e","c","s","s","w","w","w","o","p","n","s","g"
"1139","f","f","w","f","n","f","w","b","h","t","e","s","s","w","w","w","o","e","n","a","g"
"1140","x","s","n","f","n","f","w","b","n","t","e","f","s","w","w","w","o","e","n","a","g"
"1141","f","f","w","f","n","f","w","b","n","t","e","s","s","w","w","w","o","e","n","a","g"
"1142","x","f","n","t","n","f","c","b","p","t","b","s","s","w","p","w","o","p","n","v","d"
"1143","f","f","w","f","n","f","w","b","h","t","e","s","f","w","w","w","o","e","n","s","g"
"1144","x","s","w","f","n","f","w","b","k","t","e","s","f","w","w","w","o","e","k","a","g"
"1145","x","s","n","f","n","f","w","b","n","t","e","f","f","w","w","w","o","e","n","a","g"
"1146","x","f","w","f","n","f","w","b","n","t","e","f","s","w","w","w","o","e","n","s","g"
"1147","f","s","g","f","n","f","w","b","k","t","e","f","s","w","w","w","o","e","k","s","g"
"1148","x","f","g","f","n","f","w","b","n","t","e","s","s","w","w","w","o","e","n","a","g"
"1149","x","f","g","f","n","f","w","b","h","t","e","f","f","w","w","w","o","e","k","a","g"
"1150","f","s","n","f","n","f","w","b","h","t","e","f","s","w","w","w","o","e","k","a","g"
"1151","f","s","w","f","n","f","w","b","p","t","e","f","f","w","w","w","o","e","k","a","g"
"1152","f","y","n","t","a","f","c","b","n","e","r","s","y","w","w","w","o","p","k","y","p"
"1153","x","y","w","t","p","f","c","n","k","e","e","s","s","w","w","w","o","p","n","v","g"
"1154","f","s","g","f","n","f","w","b","h","t","e","f","s","w","w","w","o","e","k","a","g"
"1155","x","y","w","t","p","f","c","n","n","e","e","s","s","w","w","w","o","p","k","v","g"
"1156","b","y","w","t","a","f","c","b","k","e","c","s","s","w","w","w","o","p","n","s","m"
"1157","x","s","g","f","n","f","w","b","n","t","e","s","s","w","w","w","o","e","k","s","g"
"1158","f","f","g","f","n","f","w","b","h","t","e","s","f","w","w","w","o","e","k","a","g"
"1159","f","f","w","f","n","f","w","b","n","t","e","s","f","w","w","w","o","e","n","s","g"
"1160","f","s","g","f","n","f","w","b","h","t","e","f","f","w","w","w","o","e","k","s","g"
"1161","b","y","w","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","n","n","g"
"1162","x","f","g","f","n","f","w","b","n","t","e","f","s","w","w","w","o","e","k","s","g"
"1163","x","f","e","t","n","f","c","b","p","t","b","s","s","w","w","w","o","p","n","v","d"
"1164","x","y","y","t","a","f","c","b","p","e","r","s","y","w","w","w","o","p","k","s","p"
"1165","x","s","w","f","n","f","w","b","k","t","e","f","f","w","w","w","o","e","k","s","g"
"1166","b","s","w","t","a","f","c","b","w","e","c","s","s","w","w","w","o","p","n","n","m"
"1167","x","s","n","t","p","f","c","n","k","e","e","s","s","w","w","w","o","p","k","v","g"
"1168","x","f","n","t","n","f","c","b","p","t","b","s","s","p","p","w","o","p","k","y","d"
"1169","f","s","n","f","n","f","w","b","n","t","e","s","s","w","w","w","o","e","k","s","g"
"1170","b","s","w","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","n","n","m"
"1171","x","s","g","f","n","f","w","b","n","t","e","f","s","w","w","w","o","e","k","s","g"
"1172","x","f","n","t","n","f","c","b","u","t","b","s","s","p","g","w","o","p","k","v","d"
"1173","f","f","w","f","n","f","w","b","p","t","e","f","f","w","w","w","o","e","n","a","g"
"1174","x","f","n","f","n","f","c","n","g","e","e","s","s","w","w","w","o","p","k","v","u"
"1175","x","f","g","f","n","f","c","n","g","e","e","s","s","w","w","w","o","p","k","v","u"
"1176","x","f","g","f","n","f","c","n","p","e","e","s","s","w","w","w","o","p","k","y","u"
"1177","b","y","y","t","l","f","c","b","g","e","c","s","s","w","w","w","o","p","k","s","m"
"1178","f","f","n","f","n","f","c","n","g","e","e","s","s","w","w","w","o","p","n","v","u"
"1179","x","f","w","f","n","f","w","b","k","t","e","s","f","w","w","w","o","e","n","a","g"
"1180","f","y","n","t","a","f","c","b","w","e","r","s","y","w","w","w","o","p","k","s","p"
"1181","x","y","n","t","l","f","c","b","p","e","r","s","y","w","w","w","o","p","k","y","p"
"1182","x","y","y","t","l","f","c","b","p","e","r","s","y","w","w","w","o","p","k","y","g"
"1183","f","f","g","f","n","f","w","b","h","t","e","f","s","w","w","w","o","e","n","a","g"
"1184","x","y","w","t","a","f","c","b","n","e","c","s","s","w","w","w","o","p","k","n","g"
"1185","x","y","w","t","a","f","c","b","n","e","c","s","s","w","w","w","o","p","k","s","g"
"1186","f","s","w","f","n","f","w","b","n","t","e","f","f","w","w","w","o","e","n","a","g"
"1187","f","s","g","f","n","f","w","b","h","t","e","s","s","w","w","w","o","e","k","a","g"
"1188","f","s","n","t","p","f","c","n","p","e","e","s","s","w","w","w","o","p","k","v","u"
"1189","x","y","y","t","l","f","c","b","n","e","c","s","s","w","w","w","o","p","n","s","g"
"1190","x","f","n","f","n","f","w","b","p","t","e","s","s","w","w","w","o","e","n","s","g"
"1191","x","f","w","f","n","f","w","b","p","t","e","f","f","w","w","w","o","e","k","s","g"
"1192","x","s","y","t","l","f","c","b","w","e","c","s","s","w","w","w","o","p","n","s","m"
"1193","x","f","e","t","n","f","c","b","p","t","b","s","s","g","p","w","o","p","n","v","d"
"1194","f","y","n","t","l","f","c","b","p","e","r","s","y","w","w","w","o","p","n","s","p"
"1195","b","s","w","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","k","n","g"
"1196","x","s","n","t","p","f","c","n","k","e","e","s","s","w","w","w","o","p","k","s","g"
"1197","x","f","g","f","n","f","w","b","k","t","e","f","s","w","w","w","o","e","k","s","g"
"1198","b","y","w","t","a","f","c","b","n","e","c","s","s","w","w","w","o","p","n","n","m"
"1199","x","s","w","t","l","f","c","b","k","e","c","s","s","w","w","w","o","p","n","n","g"
"1200","b","y","y","t","l","f","c","b","k","e","c","s","s","w","w","w","o","p","k","s","m"
"1201","x","y","w","t","l","f","c","b","w","e","c","s","s","w","w","w","o","p","n","n","g"
"1202","x","s","y","t","a","f","c","b","g","e","c","s","s","w","w","w","o","p","n","n","g"
"1203","b","s","w","t","a","f","c","b","w","e","c","s","s","w","w","w","o","p","k","n","g"
"1204","f","s","n","f","n","f","w","b","k","t","e","s","s","w","w","w","o","e","k","s","g"
"1205","f","s","w","t","p","f","c","n","n","e","e","s","s","w","w","w","o","p","n","s","g"
"1206","f","s","n","f","n","f","w","b","h","t","e","s","s","w","w","w","o","e","n","a","g"
"1207","f","f","n","f","n","f","w","b","h","t","e","s","s","w","w","w","o","e","k","a","g"
"1208","f","y","w","t","p","f","c","n","p","e","e","s","s","w","w","w","o","p","k","s","u"
"1209","f","s","w","f","n","f","w","b","h","t","e","f","s","w","w","w","o","e","k","a","g"
"1210","x","f","w","f","n","f","w","b","p","t","e","s","s","w","w","w","o","e","n","s","g"
"1211","x","s","n","f","n","f","w","b","p","t","e","s","f","w","w","w","o","e","k","a","g"
"1212","f","s","n","f","n","f","w","b","p","t","e","s","s","w","w","w","o","e","k","a","g"
"1213","f","y","y","t","a","f","c","b","n","e","r","s","y","w","w","w","o","p","k","y","g"
"1214","x","f","g","f","n","f","w","b","n","t","e","f","f","w","w","w","o","e","k","a","g"
"1215","x","f","n","f","n","f","w","b","n","t","e","s","s","w","w","w","o","e","k","a","g"
"1216","f","s","n","t","p","f","c","n","k","e","e","s","s","w","w","w","o","p","n","v","g"
"1217","x","s","w","f","n","f","w","b","p","t","e","f","f","w","w","w","o","e","n","a","g"
"1218","f","f","n","f","n","f","w","b","p","t","e","f","s","w","w","w","o","e","k","s","g"
"1219","f","f","w","f","n","f","w","b","h","t","e","f","f","w","w","w","o","e","n","a","g"
"1220","f","f","w","f","n","f","w","b","k","t","e","f","f","w","w","w","o","e","n","s","g"
"1221","x","y","y","t","a","f","c","b","n","e","r","s","y","w","w","w","o","p","k","s","g"
"1222","x","s","g","f","n","f","w","b","k","t","e","f","f","w","w","w","o","e","n","s","g"
"1223","x","f","g","f","n","f","w","b","k","t","e","f","f","w","w","w","o","e","n","a","g"
"1224","f","f","n","f","n","f","w","b","h","t","e","f","f","w","w","w","o","e","k","s","g"
"1225","f","s","n","f","n","f","w","b","p","t","e","f","s","w","w","w","o","e","k","a","g"
"1226","x","f","w","f","n","f","w","b","k","t","e","s","s","w","w","w","o","e","k","s","g"
"1227","x","y","e","t","n","f","c","b","w","t","b","s","s","g","p","w","o","p","n","v","d"
"1228","x","f","n","f","n","f","w","b","p","t","e","s","s","w","w","w","o","e","k","a","g"
"1229","x","s","w","t","p","f","c","n","p","e","e","s","s","w","w","w","o","p","n","v","g"
"1230","x","y","n","t","n","f","c","b","w","t","b","s","s","p","g","w","o","p","k","y","d"
"1231","x","f","n","f","n","f","w","b","n","t","e","s","f","w","w","w","o","e","n","s","g"
"1232","f","y","w","t","p","f","c","n","w","e","e","s","s","w","w","w","o","p","n","s","g"
"1233","f","f","g","f","n","f","w","b","k","t","e","f","s","w","w","w","o","e","k","a","g"
"1234","x","f","w","f","n","f","w","b","p","t","e","f","f","w","w","w","o","e","n","a","g"
"1235","f","s","n","f","n","f","w","b","h","t","e","s","f","w","w","w","o","e","k","a","g"
"1236","f","f","g","f","n","f","w","b","p","t","e","s","f","w","w","w","o","e","k","a","g"
"1237","f","s","g","f","n","f","w","b","p","t","e","f","s","w","w","w","o","e","k","a","g"
"1238","f","f","g","f","n","f","w","b","h","t","e","s","f","w","w","w","o","e","n","s","g"
"1239","x","s","g","f","n","f","w","b","h","t","e","s","f","w","w","w","o","e","n","s","g"
"1240","x","s","n","f","n","f","w","b","h","t","e","s","f","w","w","w","o","e","k","s","g"
"1241","f","s","w","t","p","f","c","n","p","e","e","s","s","w","w","w","o","p","k","v","u"
"1242","x","s","g","f","n","f","w","b","k","t","e","f","f","w","w","w","o","e","n","a","g"
"1243","x","s","w","t","p","f","c","n","p","e","e","s","s","w","w","w","o","p","k","s","g"
"1244","f","s","w","t","p","f","c","n","w","e","e","s","s","w","w","w","o","p","n","s","u"
"1245","f","s","n","f","n","f","w","b","k","t","e","s","f","w","w","w","o","e","n","s","g"
"1246","x","f","g","f","n","f","w","b","k","t","e","s","s","w","w","w","o","e","k","a","g"
"1247","f","s","g","f","n","f","w","b","h","t","e","s","s","w","w","w","o","e","n","a","g"
"1248","x","s","g","f","n","f","w","b","k","t","e","s","s","w","w","w","o","e","k","a","g"
"1249","f","f","g","f","n","f","w","b","n","t","e","f","s","w","w","w","o","e","k","a","g"
"1250","f","f","g","f","n","f","w","b","k","t","e","f","s","w","w","w","o","e","n","a","g"
"1251","x","y","g","t","n","f","c","b","n","t","b","s","s","g","p","w","o","p","n","y","d"
"1252","x","f","n","t","n","f","c","b","n","t","b","s","s","w","w","w","o","p","n","v","d"
"1253","f","s","w","f","n","f","w","b","k","t","e","s","f","w","w","w","o","e","n","a","g"
"1254","f","y","w","t","p","f","c","n","p","e","e","s","s","w","w","w","o","p","n","v","g"
"1255","f","y","n","t","p","f","c","n","k","e","e","s","s","w","w","w","o","p","n","s","g"
"1256","x","s","w","f","n","f","w","b","p","t","e","f","s","w","w","w","o","e","n","a","g"
"1257","f","s","n","t","p","f","c","n","k","e","e","s","s","w","w","w","o","p","n","s","g"
"1258","f","f","n","f","n","f","w","b","h","t","e","s","f","w","w","w","o","e","k","s","g"
"1259","f","s","w","f","n","f","w","b","h","t","e","f","s","w","w","w","o","e","n","a","g"
"1260","f","s","n","t","p","f","c","n","w","e","e","s","s","w","w","w","o","p","k","v","g"
"1261","f","y","w","t","p","f","c","n","p","e","e","s","s","w","w","w","o","p","k","v","g"
"1262","f","y","n","t","p","f","c","n","w","e","e","s","s","w","w","w","o","p","k","v","g"
"1263","f","s","w","t","p","f","c","n","k","e","e","s","s","w","w","w","o","p","k","s","g"
"1264","x","s","w","f","n","f","w","b","k","t","e","f","f","w","w","w","o","e","k","a","g"
"1265","x","f","n","t","n","f","c","b","p","t","b","s","s","g","p","w","o","p","n","v","d"
"1266","f","s","w","f","n","f","w","b","k","t","e","f","f","w","w","w","o","e","n","a","g"
"1267","f","f","g","f","n","f","w","b","p","t","e","f","s","w","w","w","o","e","k","a","g"
"1268","f","y","n","t","p","f","c","n","k","e","e","s","s","w","w","w","o","p","k","v","u"
"1269","x","s","w","f","n","f","w","b","k","t","e","f","f","w","w","w","o","e","n","s","g"
"1270","x","y","e","t","n","f","c","b","n","t","b","s","s","p","w","w","o","p","n","y","d"
"1271","f","s","g","f","n","f","w","b","n","t","e","f","s","w","w","w","o","e","k","s","g"
"1272","x","s","w","f","n","f","w","b","n","t","e","f","f","w","w","w","o","e","n","s","g"
"1273","f","s","w","t","p","f","c","n","p","e","e","s","s","w","w","w","o","p","n","s","g"
"1274","f","f","n","f","n","f","w","b","k","t","e","f","s","w","w","w","o","e","n","a","g"
"1275","x","f","w","f","n","f","w","b","h","t","e","s","s","w","w","w","o","e","k","s","g"
"1276","f","s","w","t","p","f","c","n","k","e","e","s","s","w","w","w","o","p","k","s","u"
"1277","x","f","n","f","n","f","w","b","p","t","e","s","f","w","w","w","o","e","n","a","g"
"1278","f","f","w","f","n","f","w","b","n","t","e","s","s","w","w","w","o","e","n","s","g"
"1279","x","s","w","f","n","f","w","b","h","t","e","s","s","w","w","w","o","e","k","s","g"
"1280","f","s","w","f","n","f","w","b","h","t","e","f","s","w","w","w","o","e","n","s","g"
"1281","b","y","y","t","a","f","c","b","w","e","c","s","s","w","w","w","o","p","k","n","m"
"1282","x","s","g","f","n","f","w","b","n","t","e","s","s","w","w","w","o","e","n","a","g"
"1283","x","f","w","f","n","f","w","b","n","t","e","s","f","w","w","w","o","e","k","s","g"
"1284","x","s","n","f","n","f","w","b","n","t","e","f","s","w","w","w","o","e","n","s","g"
"1285","x","f","n","f","n","f","w","b","n","t","e","f","s","w","w","w","o","e","k","a","g"
"1286","f","f","g","f","n","f","w","b","h","t","e","f","f","w","w","w","o","e","k","a","g"
"1287","x","y","n","t","p","f","c","n","n","e","e","s","s","w","w","w","o","p","k","s","u"
"1288","f","s","g","f","n","f","w","b","h","t","e","f","s","w","w","w","o","e","k","s","g"
"1289","x","f","n","t","n","f","c","b","p","t","b","s","s","w","g","w","o","p","k","y","d"
"1290","f","s","w","f","n","f","w","b","n","t","e","s","f","w","w","w","o","e","k","a","g"
"1291","x","f","n","t","n","f","c","b","n","t","b","s","s","g","g","w","o","p","k","v","d"
"1292","x","f","g","f","n","f","w","b","p","t","e","f","s","w","w","w","o","e","n","a","g"
"1293","x","f","w","f","n","f","w","b","n","t","e","s","f","w","w","w","o","e","k","a","g"
"1294","f","s","w","t","p","f","c","n","k","e","e","s","s","w","w","w","o","p","n","v","g"
"1295","f","s","w","t","p","f","c","n","p","e","e","s","s","w","w","w","o","p","k","v","g"
"1296","x","s","g","f","n","f","w","b","k","t","e","f","s","w","w","w","o","e","n","a","g"
"1297","x","f","n","t","n","f","c","b","u","t","b","s","s","g","p","w","o","p","n","v","d"
"1298","x","s","g","f","n","f","w","b","k","t","e","s","f","w","w","w","o","e","k","s","g"
"1299","x","y","y","t","a","f","c","b","w","e","r","s","y","w","w","w","o","p","k","s","p"
